ID,Name,PSM,NearestRoad,LandAppraisal,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,GroupDistrict,TotalUnits,BuiltYear,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
834,Regent Home 4,46562.00,Pridi Banomyong Road,240000,3.93,1.85,15.34,0.94,2.52,Bang Chak,Phra Khanong,South Bangkok,404,2010,14,0,1,0,0,0,1,0,0
835,Hue Sukhumvit 62/3,107705.00,Sukhumvit Road,490000,2.51,2.57,15.11,2.06,3.19,Bang Chak,Phra Khanong,South Bangkok,141,2015,9,1,1,1,1,1,1,0,0
836,The Link Vano 64,82023.00,Udom Suk Road (Sukhumvit 103),185000,0.4,3.12,15.56,2.32,3.62,Phra Khanong Tai,Phra Khanong,South Bangkok,166,2016,8,1,1,1,0,0,1,0,0
837,Chateau In Town Sukhumvit 62/1,64108.50,Udom Suk Road (Sukhumvit 103),185000,4.55,3.73,15.66,1.67,3.04,Phra Khanong Tai,Phra Khanong,South Bangkok,197,2013,11,0,1,1,0,1,1,0,0
838,The Muse Sukhumvit,67934.00,Udom Suk Road (Sukhumvit 103),185000,0.46,2.79,15.23,2.6,3.96,Phra Khanong Tai,Phra Khanong,South Bangkok,79,2015,9,0,0,0,0,0,1,0,0
839,Condo Elio Del Ray,76793.38,Udom Suk Road (Sukhumvit 103),185000,0.72,3.06,15.78,2.49,3.7,Phra Khanong Tai,Phra Khanong,South Bangkok,1630,2013,11,1,1,0,0,1,0,0,0
840,Chateau In Town Sukhumvit 62/1 Phase 2,64884.00,Udom Suk Road (Sukhumvit 103),185000,4.49,3.77,15.81,1.67,2.98,Phra Khanong Tai,Phra Khanong,South Bangkok,79,2014,10,1,1,1,0,1,1,0,0
841,Elio Sukhumvit 64,64211.75,Udom Suk Road (Sukhumvit 103),185000,0.69,3.12,15.8,2.44,3.65,Phra Khanong Tai,Phra Khanong,South Bangkok,962,2014,10,1,1,1,0,1,1,0,0
842,Whizdom @ Punnawithi Station,76187.17,Udom Suk Road (Sukhumvit 103),185000,4.92,3.35,15.5,2.04,3.41,Bang Chak,Phra Khanong,South Bangkok,262,2011,13,1,1,1,1,0,1,0,0
843,The Privacy S101,112527.00,Udom Suk Road (Sukhumvit 103),185000,0.46,3.23,14.84,2.22,3.74,Bang Chak,Phra Khanong,South Bangkok,394,2022,2,0,1,1,0,1,1,0,0
844,Residence Sukhumvit 52,107346.00,Pridi Banomyong Road,240000,3.23,0.88,16.32,4.45,4.25,Phra Khanong Tai,Phra Khanong,South Bangkok,77,2010,14,0,1,0,0,0,1,0,0
845,Tree Condo Sukhumvit 52,61702.00,Pridi Banomyong Road,240000,3.36,0.95,16.29,4.57,4.39,Phra Khanong Tai,Phra Khanong,South Bangkok,73,2009,15,0,1,1,0,1,1,0,0
846,Life Sukhumvit 62,124780.50,Udom Suk Road (Sukhumvit 103),185000,4.23,1.75,15.86,1.36,2.72,Bang Chak,Phra Khanong,South Bangkok,438,2019,5,1,1,1,0,0,0,0,0
847,Moniiq Sukhumvit 64,91327.00,Udom Suk Road (Sukhumvit 103),185000,4.69,3.56,15.97,2,3.19,Phra Khanong Tai,Phra Khanong,South Bangkok,366,2017,7,0,1,1,1,0,1,0,0
848,The Room Sukhumvit 64,71429.00,Udom Suk Road (Sukhumvit 103),185000,0.56,3.16,15.72,2.34,3.59,Phra Khanong Tai,Phra Khanong,South Bangkok,105,2013,11,1,1,1,0,1,1,0,0
849,The Tree Sukhumvit 64,102762.14,Udom Suk Road (Sukhumvit 103),185000,0.35,3.1,15.5,2.32,3.64,Phra Khanong Tai,Phra Khanong,South Bangkok,149,2018,6,1,1,1,1,0,0,0,0
850,The Link Sukhumvit 64,63768.00,Udom Suk Road (Sukhumvit 103),185000,0.48,3.14,15.65,2.33,3.6,Phra Khanong Tai,Phra Khanong,South Bangkok,122,2010,14,0,1,1,0,0,1,0,0
851,Le Crique Sukhumvit 64/2,96667.00,Udom Suk Road (Sukhumvit 103),185000,0.43,2.81,15.19,2.57,3.96,Bang Chak,Phra Khanong,South Bangkok,169,2017,7,1,1,1,0,1,1,0,0
852,My Condo Sukhumvit 81,57143.00,Pridi Banomyong Road,240000,3.43,1.26,15.93,4.66,4.38,Bang Chak,Phra Khanong,South Bangkok,146,2009,15,0,1,0,0,1,1,0,0
853,Casa Condo Sukhumvit 97,68429.00,Udom Suk Road (Sukhumvit 103),185000,4.23,1.83,15.53,1.2,2.72,Bang Chak,Phra Khanong,South Bangkok,218,2011,13,0,1,1,0,1,1,0,0
854,Regent Home Sukhumvit 97/1,57918.33,Udom Suk Road (Sukhumvit 103),185000,4.76,2.51,14.73,1.7,3.31,Bang Chak,Phra Khanong,South Bangkok,1245,2019,5,0,1,1,0,1,1,0,0
855,The Log 3,50077.00,Udom Suk Road,110000,2.51,2.57,15.11,2.06,3.19,Bang Chak,Phra Khanong,South Bangkok,630,2013,11,0,1,1,0,1,0,1,0
856,The Green 2 Condominium @ Sukhumvit 101,44828.00,Udom Suk Road (Sukhumvit 103),185000,1.64,3.56,13.78,2.72,4.33,Bang Chak,Phra Khanong,South Bangkok,260,2011,13,0,1,1,0,1,1,0,0
857,Lumpini Ville Sukhumvit 101/1-Punnawithi,65476.33,Udom Suk Road (Sukhumvit 103),185000,2.7,2.86,12.6,0.4,2.04,Bang Chak,Phra Khanong,South Bangkok,328,2021,3,0,1,1,0,1,1,0,0
